Date,Daily_Cases,Cum_Cases
14-Mar,3,3
15-Mar,3,6
16-Mar,0,6
17-Mar,1,7
18-Mar,0,7
19-Mar,4,11
20-Mar,5,16
21-Mar,3,19
22-Mar,4,23
23-Mar,4,27
24-Mar,26,53
25-Mar,40,93
26-Mar,39,132
27-Mar,5,137
28-Mar,4,141
29-Mar,11,152
30-Mar,0,152
31-Mar,9,161
1-Apr,34,195
2-Apr,9,204
3-Apr,1,205
4-Apr,0,205
5-Apr,9,214
6-Apr,0,214
7-Apr,73,287
8-Apr,26,313
9-Apr,65,378
10-Apr,0,378
11-Apr,30,408
12-Apr,158,566
13-Apr,0,566
14-Apr,70,636
15-Apr,0,636
16-Apr,5,641
17-Apr,0,641
18-Apr,193,834
19-Apr,208,1042
20-Apr,0,1042
21-Apr,0,1042
22-Apr,112,1154
23-Apr,0,1154
24-Apr,125,1279
25-Apr,0,1279
26-Apr,271,1550
27-Apr,0,1550
28-Apr,121,1671
29-Apr,0,1671
30-Apr,403,2074
1-May,0,2074
2-May,95,2169
3-May,0,2169
4-May,550,2719
5-May,0,2719
6-May,372,3091
7-May,0,3091
8-May,921,4012
9-May,251,4263
10-May,0,4263
11-May,437,4700
12-May,427,5127
13-May,281,5408
14-May,122,5530
15-May,108,5638
16-May,97,5735
17-May,0,5735
18-May,0,5735
19-May,361,6096
20-May,173,6269
21-May,0,6269
22-May,217,6486
23-May,131,6617
24-May,66,6683
25-May,125,6808
26-May,156,6964
27-May,153,7117
28-May,186,7303
